epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4901,1.60284,3.66696,1.52712,0.02237,0.33694,0.07959,0.04528,1.39707,3.61124,1.52383,6.666e-05,6.666e-05,6.666e-05
2,23.9018,1.39827,3.50489,1.38045,0.02058,0.4413,0.16435,0.09074,1.30125,3.54479,1.32739,0.000143715,0.000143715,0.000143715
3,35.2501,1.33666,2.98633,1.27985,0.02135,0.49068,0.23568,0.12348,1.283,3.41719,1.30676,0.00022,0.00022,0.00022
4,46.596,1.36924,2.3682,1.30565,0.01872,0.52606,0.3213,0.18282,1.28967,3.33539,1.31212,0.000295515,0.000295515,0.000295515
5,57.929,1.37889,1.83915,1.30956,0.01776,0.57583,0.43037,0.24008,1.32634,3.1811,1.37788,0.000370261,0.000370261,0.000370261
6,69.2692,1.35949,1.4712,1.30671,0.91838,0.23793,0.43366,0.23614,1.41508,3.03697,1.50735,0.000444236,0.000444236,0.000444236
7,80.6373,1.33868,1.27433,1.29209,0.97285,0.19561,0.49294,0.28108,1.33706,2.71295,1.41999,0.000517442,0.000517442,0.000517442
8,91.9961,1.30148,1.16187,1.29223,0.97103,0.21383,0.52376,0.30457,1.32272,2.56197,1.40688,0.000589877,0.000589877,0.000589877
9,103.388,1.2831,1.11429,1.27978,0.95334,0.2237,0.53385,0.30518,1.38734,2.51063,1.44001,0.000661543,0.000661543,0.000661543
10,114.739,1.30034,1.09232,1.28515,0.98237,0.18587,0.52038,0.2839,1.39305,2.56018,1.44657,0.000732438,0.000732438,0.000732438
11,126.154,1.28968,1.06718,1.27676,0.93802,0.19613,0.50818,0.2833,1.43552,2.50027,1.44249,0.000802564,0.000802564,0.000802564
12,137.482,1.27261,1.02738,1.26148,0.90632,0.20107,0.53528,0.28445,1.48489,2.45863,1.52563,0.00087192,0.00087192,0.00087192
13,148.81,1.25838,0.99752,1.2494,0.79022,0.27806,0.51369,0.25116,1.66951,2.15218,1.67129,0.000940506,0.000940506,0.000940506
14,160.161,1.31753,1.02005,1.25691,0.84288,0.37551,0.56919,0.30484,1.52185,1.95932,1.58142,0.00100832,0.00100832,0.00100832
15,171.484,1.26281,1.00227,1.25942,0.71936,0.35571,0.48475,0.24069,1.64985,2.15943,1.65677,0.00103401,0.00103401,0.00103401
16,182.813,1.23329,0.96919,1.2375,0.93029,0.11641,0.39739,0.1877,1.7077,2.74559,1.61949,0.00102851,0.00102851,0.00102851
17,194.154,1.24679,0.94764,1.23168,0.91172,0.13397,0.34301,0.15887,1.79527,2.67318,1.65628,0.00102301,0.00102301,0.00102301
18,205.491,1.2561,0.95877,1.24821,0.7998,0.43085,0.57762,0.28611,1.60603,1.83464,1.56351,0.00101751,0.00101751,0.00101751
19,216.898,1.28693,0.96913,1.23793,0.72534,0.56903,0.61454,0.32146,1.54678,1.49373,1.5571,0.00101201,0.00101201,0.00101201
20,228.24,1.23698,0.93037,1.21841,0.69122,0.55344,0.60347,0.3171,1.5335,1.54843,1.52792,0.00100651,0.00100651,0.00100651
21,239.582,1.2229,0.90708,1.2269,0.66695,0.48425,0.54906,0.28759,1.5446,1.70567,1.52381,0.00100101,0.00100101,0.00100101
22,250.936,1.24041,0.92448,1.23069,0.48232,0.42131,0.38881,0.19818,1.64146,1.94601,1.6188,0.000995512,0.000995512,0.000995512
