epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3448,1.44836,1.93142,1.42715,0.74179,0.46467,0.51676,0.28154,1.53247,1.88437,1.73398,0.00032219,0.00032219,0.00032219
2,34.0166,1.40664,1.06334,1.34705,0.71638,0.44784,0.55997,0.26752,1.8248,1.46944,2.1897,0.000652245,0.000652245,0.000652245
3,50.4381,1.37466,0.99911,1.35459,0.60523,0.46843,0.51239,0.26342,1.6834,1.95068,1.88678,0.000979001,0.000979001,0.000979001
4,66.9177,1.40628,1.01137,1.3639,0.61449,0.49895,0.54261,0.26434,1.6549,2.26026,1.94733,0.0010945,0.0010945,0.0010945
5,83.4012,1.39446,0.98377,1.38121,0.63848,0.43665,0.41163,0.20001,1.75245,2.56968,1.96138,0.001089,0.001089,0.001089
6,99.8666,1.39043,0.96064,1.36687,0.66325,0.59352,0.68507,0.32999,1.67125,1.41354,1.76913,0.0010835,0.0010835,0.0010835
7,116.418,1.33845,0.93468,1.32869,0.81657,0.62756,0.74232,0.3939,1.54231,0.96257,1.67028,0.001078,0.001078,0.001078
8,132.936,1.37303,0.91361,1.34354,0.82271,0.57558,0.73118,0.38022,1.5531,1.01905,1.6608,0.0010725,0.0010725,0.0010725
9,149.517,1.35808,0.90728,1.3303,0.62599,0.62113,0.69156,0.37286,1.53732,0.95152,1.60214,0.001067,0.001067,0.001067
10,166.009,1.34642,0.88475,1.3281,0.71781,0.68987,0.744,0.41359,1.49459,0.94718,1.61967,0.0010615,0.0010615,0.0010615
11,182.531,1.33784,0.86931,1.2995,0.76767,0.68236,0.74345,0.40474,1.52169,0.89417,1.60848,0.00105601,0.00105601,0.00105601
12,199,1.32134,0.8659,1.29009,0.73333,0.77655,0.82369,0.42518,1.56465,0.8784,1.62332,0.00105051,0.00105051,0.00105051
13,215.56,1.30825,0.85463,1.28123,0.78352,0.73478,0.7926,0.41721,1.5159,0.95848,1.62097,0.00104501,0.00104501,0.00104501
14,232.088,1.30355,0.83611,1.29,0.65887,0.71406,0.73605,0.40935,1.48507,0.92141,1.57721,0.00103951,0.00103951,0.00103951
15,248.616,1.28209,0.81201,1.28255,0.73776,0.81185,0.79517,0.43674,1.47477,0.79719,1.54686,0.00103401,0.00103401,0.00103401
16,265.113,1.26306,0.79869,1.27916,0.71118,0.71881,0.72797,0.41267,1.46632,0.85512,1.5428,0.00102851,0.00102851,0.00102851
17,281.684,1.2591,0.79379,1.25353,0.85252,0.73891,0.81534,0.45071,1.47444,0.80209,1.53766,0.00102301,0.00102301,0.00102301
18,298.176,1.26421,0.78515,1.27654,0.85328,0.73822,0.80609,0.44949,1.4458,0.77169,1.53123,0.00101751,0.00101751,0.00101751
19,314.681,1.26714,0.78859,1.28002,0.75771,0.81243,0.82587,0.4579,1.43489,0.77106,1.54372,0.00101201,0.00101201,0.00101201
20,331.22,1.25112,0.78012,1.25349,0.77942,0.77125,0.82784,0.44796,1.48154,0.81641,1.54952,0.00100651,0.00100651,0.00100651
21,347.737,1.2397,0.76601,1.25516,0.80511,0.81484,0.83683,0.4654,1.48443,0.81837,1.55085,0.00100101,0.00100101,0.00100101
22,364.284,1.23386,0.76292,1.26446,0.80503,0.77481,0.80501,0.44746,1.43213,0.78221,1.52088,0.000995512,0.000995512,0.000995512
23,380.811,1.23413,0.77318,1.25349,0.8126,0.72206,0.78253,0.43242,1.47346,0.77748,1.55602,0.000990012,0.000990012,0.000990012
